Page path and screen class,Views,Active users,Views per active user,Average engagement time per active user,Event count,Key events,Total revenue
/search/label/Tech & Science,37,2,18.5,212,101,0,0
/p/home-page.html,34,9,3.7777777777777777,121.66666666666667,93,0,0
/,23,4,5.75,0.5,56,0,0
/2025/12/top-10-coding-tools-learn-faster.html,12,3,4,28,34,0,0
/search/label/Sports,10,1,10,78,32,0,0
/2025/11/premier-league-matchday-12-liverpool-mancity-chelsea-league-leaders-points.html,7,1,7,155,22,0,0
/2025/12/top-10-design-tools-boost-productivity-2025.html,7,2,3.5,13,19,0,0
/2025/12/top-10-cybersecurity-tools-2025-increase-security.html,5,2,2.5,36,14,0,0
/2025/11/top-10-chrome-extensions-work-faster.html,4,2,2,34.5,16,0,0
/2025/12/top-10-ai-tools-scale-business-tools.html,4,2,2,26.5,15,0,0
/2025/12/top-10-creative-tools-to-increase-security-2025.html,4,2,2,13.5,11,0,0
/2025/12/blog-post.html,3,1,3,10,7,0,0
/2025/12/top-10-creative-tools-scale-business-tools.html,3,2,1.5,15.5,9,0,0
/2025/11/iphone-pocket-stylish-apple-issey.html,2,2,1,17,5,0,0
/2025/12/blog-post_08.html,2,2,1,8,5,0,0
/2025/11/blog-post.html,1,1,1,12,3,0,0
/2025/11/blog-post_22.html,1,1,1,72,3,0,0
/2025/11/blog-post_28.html,1,1,1,20,3,0,0
/2025/11/top-10-cybersecurity-tools-2025.html,1,1,1,43,3,0,0
/2025/11/top-10-design-tools-to-secure-your-data.html,1,1,1,3,3,0,0
/2025/11/valorant-onetap-collection-bundle.html,1,1,1,52,2,0,0
/2025/12/top-10-ai-tools-improve-digital-privacy.html,1,1,1,8,3,0,0
/2025/12/top-10-coding-tools-learn-faster_01793842204.html,1,1,1,2,3,0,0
/2025/12/top-10-creative-tools-you-need-to-increase-security.html,1,1,1,1,3,0,0
/2025/12/top-10-design-tools-speed-content-creation.html,1,1,1,12,3,0,0
/p/daily-challenge.html,1,1,1,46,2,0,0
/p/daily-quotes.html,1,1,1,14,3,0,0
/search/label/europe qualifiers,1,1,1,6,2,0,0
/2025/11/world-cup-2026-qualifiers-full-list-teams-scores-playoffs.html,0,1,0,11,1,0,0
